id,record_kind,collection_id,name,parentage,type,specimen_count,tags,status,scent,source,notes,nickname,card_note,card_note_updated_at,arrival_type,start_date,seed_lot_id,breeding_selected,cuttings_available,cuttings_updated_at,card_image,card_crop_x,card_crop_y,card_image_updated_at,crossing_id,seedling_label,label_number,sow_batch_id,batch_individual_number,supplier,seller,purchase_name,order_number,article_number,purchase_date,arrival_date,purchase_price_sek,purchase_price_original,purchase_currency,purchase_exchange_rate,purchase_exchange_rate_note,purchase_note
p-triffidum,COLLECTION,,P. triffidum,,Vildpelargon,1,,Bekräftad,,Sune Trygg,Vild art. Etiketten anger P. triffidum.,,,,Köpt planta,,,nej,,,,,,,,,PEL-027,,,,,,,,,,,,,,,
p-caffrum-diana,COLLECTION,,P. × caffrum ‘Diana’,,Primärhybrid,1,,Bekräftad,,Sune Trygg,"Eget exemplar i samlingen. Följ form, stam, doft och blomning över tid.",,,,Köpt planta,,,nej,,,bilder/pelargoner/p-caffrum-diana_synk-b1d8c54af2_2026-08-01_blomma.jpg,50.5831,37.6627,2026-08-14T16:07:36.835Z,,,PEL-006,,,,,,,,,,,,,,,
p-bontrosai-1,COLLECTION,,P. ‘Bontrosai’,,Doftpelargon,2,,Bekräftad,,Sune Trygg,"Eget exemplar i samlingen. Följ form, stam, doft och blomning över tid.",,,,Köpt planta,,,nej,,,,,,,,,PEL-003,,,,,,,,,,,,,,,
p-bothams-surprise-1,COLLECTION,,P. ‘Botham Surprise’,,Brokbladig pelargon,2,,Bortgiven,,Sune Trygg,"Eget exemplar i samlingen. Följ form, stam, doft och blomning över tid.",,Till Marie,2026-08-27T15:55:43.307Z,Köpt planta,,,nej,nej,2026-09-13T08:59:50+02:00,,,,,,,PEL-004,,,,,,,,,,,,,,,
p-creamery,COLLECTION,,P. ‘Creamery’,,Zonalpelargon,1,,Bortgiven,,Sune Trygg,"Eget exemplar i samlingen. Följ form, stam, doft och blomning över tid.",,Till Marie,2026-08-27T15:55:49.490Z,Köpt planta,,,nej,nej,2026-09-13T08:59:50+02:00,bilder/pelargoner/p-creamery_2026-07-04_blomma.jpg,51.8465,2.19705,2026-08-14T16:33:34.193Z,,,PEL-008,,,,,,,,,,,,,,,
p-cys-sunburst-1,COLLECTION,,P. ‘Cy’s Sunburst’,,Doftpelargon,1,,Bekräftad,,Sune Trygg,"Eget exemplar i samlingen. Följ form, stam, doft och blomning över tid. Doftpelargon med brokbladigt bladverk.",,,,Köpt planta,,,nej,ja,2026-08-13T15:39:31.056Z,,,,,,,PEL-009,,,,,,,,,,,,,,,
p-dr-westerlund-1,COLLECTION,,P. ‘Dr Westerlund’,,Doftpelargon,2,,Bekräftad,Klassisk doftpelargon / frisk citrus-ros,Sune Trygg,Doftpelargon. Eget exemplar i samlingen.,,,,Köpt planta,,,nej,ja,2026-08-13T09:16:29.817Z,,,,,,,PEL-011,,,,,,,,,,,,,,,
p-gibbosina-bicolour,COLLECTION,,P. ‘Gibbosina Bicolour’,P. gibbosum × P. ‘Cortusina’,Hybrid/kultivar,1,,,,"Ralf Paul Pelargonien, Tyskland","Härstamning: P. gibbosum × (P. gibbosum × P. cortusifolium). Direkta föräldrar: P. gibbosum × P. ‘Cortusina’. ‘Cortusina’ = P. gibbosum × P. cortusifolium, vilket ger ungefär 75 % P. gibbosum-bakgrund. Gåva/bonusplanta som Ralf Paul lade till utan kostnad.",,,,Köpt planta,,,nej,,,,,,,,,PEL-012,,,Ralf Paul Pelargonien,,P. ‘Gibbosina Bicolour’,1788,,2026-09-01,,,0,EUR,,,
p-glauciifolium,COLLECTION,,P. ‘Glauciifolium’,P. gibbosum × P. lobatum,Primärhybrid,1,,,Kraftig nattdoft,"Ralf Paul Pelargonien, Tyskland",Pelargonium × glauciifolium. Typ: art-/primärhybrid. Föräldrar: P. gibbosum × P. lobatum. Geofytisk gammal hybrid. Små mörkt auberginefärgade blommor med gröngul kant. Kraftig nattdoft.,,,,Köpt planta,,,nej,,,,,,,,,PEL-017,,,Ralf Paul Pelargonien,,Pelargonium Glauciifolium,1788,00102,2026-09-01,,,15,EUR,,,
p-lemon-queen,COLLECTION,,P. ‘Lemon Queen’,,Doftpelargon,1,,Bekräftad,Citron,Sune Trygg,"Eget exemplar i samlingen. Följ form, stam, doft och blomning över tid.",,,,Köpt planta,,,nej,,,,,,,,,PEL-019,,,,,,,,,,,,,,,
p-nielsens-fragrans-1,COLLECTION,,P. ‘Nielsens Fragrans’,,Doftpelargon,1,,Bekräftad,Doftpelargon,Sune Trygg,Har både helbild och blomma från samma datum.,,,,Köpt planta,,,nej,,,,,,,,,PEL-021,,,,,,,,,,,,,,,
p-prince-of-orange,COLLECTION,,P. ‘Prince of Orange’,,Doftpelargon,1,,Bekräftad,Apelsin / citrus,Sune Trygg,"Eget exemplar i samlingen. Följ form, stam, doft och blomning över tid.",,,,Köpt planta,,,nej,,,bilder/pelargoner/p-prince-of-orange_2026-07-01_blomma.jpg,50.7775,39.8598,2026-08-14T16:08:08.137Z,,,PEL-023,,,,,,,,,,,,,,,
p-torento,COLLECTION,,P. ‘Torento’,,Doftpelargon,0,,Avslutad/död,Cola / kryddig citrus,Sune Trygg,"Eget exemplar i samlingen. Följ form, stam, doft och blomning över tid.",,,,Köpt planta,,,nej,,,,,,,,,PEL-026,,,,,,,,,,,,,,,
p-rushmoor-mississippi,COLLECTION,,‘Rushmoor Mississippi’,,Zonartic,1,,,,"Ralf Paul Pelargonien, Tyskland",Pelargonium Zonartic ‘Rushmoor Mississippi’. Typ: hybrid/sort. Utvald för den tydligt gula blomfärgen. Lemon-/smörgula fyllda till halvfyllda blommor.,,,,Köpt planta,,,nej,,,,,,,,,PEL-024,,,Ralf Paul Pelargonien,,Pelargonium zonartic Rushmoor Mississippi,1788,00384,2026-09-01,,,20,EUR,,,
