plant_id,date,flower_image,flower_color,scent_note,score,notes
p-cys-sunburst-1,2026-06-21,p-cys-sunburst-1_2026-06-21_blomma.jpg,,,,Blombild importerad från bildregistret.
p-nielsens-fragrans-1,2026-06-21,p-nielsens-fragrans_2026-06-21_blomma.jpg,,,,Blombild importerad från bildregistret.
p-odoratissimum-1,2026-06-21,p-odoratissimum-1_2026-06-21_blomma.jpg,,,,Blombild importerad från bildregistret.
p-triffidum,2026-06-21,p-triffidum_2026-06-21_blomma.jpg,,,,Blombild importerad från bildregistret.
