plant_id,date,type,file,label,day,photo_id
PL-H01-K,2026-08-17,stickling,bilder/hibiskusar/PL-H01-K_synk-48dfb49844_2026-08-17_stickling.jpg,2026-08-17 · stickling,274,HPH-F009596D7FAE
PL-H01-L,2026-05-24,hel,bilder/hibiskusar/PL-H01-L_2026-05-24_hel.jpg,2026-05-24 · hel,189,HPH-B32CC6BDBE51
PL-H01-L,2026-06-07,hel,bilder/hibiskusar/PL-H01-L_2026-06-07_hel.jpg,2026-06-07 · hel,203,HPH-B00D6C4283AF
PL-H01-L,2026-08-15,hel,bilder/hibiskusar/PL-H01-L_2026-08-15_hel.jpg,2026-08-15 · hel,272,HPH-FBB69859A466
PL-H01-M,2026-05-24,hel,bilder/hibiskusar/PL-H01-M_2026-05-24_hel.jpg,2026-05-24 · hel,189,HPH-D1E032CC078B
PL-H01-M,2026-06-07,hel,bilder/hibiskusar/PL-H01-M_2026-06-07_hel.jpg,2026-06-07 · hel,203,HPH-A91A6E61C24F
PL-H01-M,2026-08-15,hel,bilder/hibiskusar/PL-H01-M_2026-08-15_hel.jpg,2026-08-15 · hel,272,HPH-6E4829C8546A
PL-H01-N,2026-05-24,hel,bilder/hibiskusar/PL-H01-N_2026-05-24_hel.jpg,2026-05-24 · hel,189,HPH-1D6E38B8D07F
PL-H01-N,2026-06-07,hel,bilder/hibiskusar/PL-H01-N_2026-06-07_hel.jpg,2026-06-07 · hel,203,HPH-1728EC4B7854
PL-H01-N,2026-08-15,hel,bilder/hibiskusar/PL-H01-N_2026-08-15_hel.jpg,2026-08-15 · hel,272,HPH-A585B19A6C86
PL-H01-O,2026-05-24,hel,bilder/hibiskusar/PL-H01-O_2026-05-24_hel.jpg,2026-05-24 · hel,189,HPH-2E9236CCBAE2
PL-H01-O,2026-06-07,hel,bilder/hibiskusar/PL-H01-O_2026-06-07_hel.jpg,2026-06-07 · hel,203,HPH-AF2C19EAFA58
PL-H01-O,2026-08-15,hel,bilder/hibiskusar/PL-H01-O_2026-08-15_hel.jpg,2026-08-15 · hel,272,HPH-3E541073934B
PL-H01-Q,2026-05-24,hel,bilder/hibiskusar/PL-H01-Q_2026-05-24_hel.jpg,2026-05-24 · hel,189,HPH-A0AB3342F27C
PL-H01-Q,2026-06-07,hel,bilder/hibiskusar/PL-H01-Q_2026-06-07_hel.jpg,2026-06-07 · hel,203,HPH-E68DEF9D1EE9
PL-H01-Q,2026-08-15,hel,bilder/hibiskusar/PL-H01-Q_2026-08-15_hel.jpg,2026-08-15 · hel,272,HPH-4DAC67F7303F
PL-H01-R,2026-05-24,hel,bilder/hibiskusar/PL-H01-R_2026-05-24_hel.jpg,2026-05-24 · hel,189,HPH-3D55CE1D5A79
