seed_harvest_id,crossing_id,code,pollinated_date,seed_development_date,harvested_date,seeds_harvested,seeds_remaining,notes,created_at
LABH-77a6b0cd0b0d47168405ba401dd75f5d,LABC-legacy-2A4E5C71076E,26A,2026-08-25,,2026-09-23,12,12,,2026-09-23T06:57:51.313Z
LABH-legacy-AA9AC1EE9B4F-26A,LABC-legacy-AA9AC1EE9B4F,26A,2026-08-18,2026-09-04,2026-09-11,14,0,,2026-08-25T15:58:56.260Z
