crossing_id,category,mother_id,father_id,status,note,seedling_prefix,hibiscus_batch,hibiscus_cross_code,created_at,closed_at,closed_note
KRS-P-2A4E5C71076E,Pelargon,p-gibbosum-maroon-1,p-laxum-1,Pollinerad,,M×L 26,,,2026-08-25T16:00:03.404Z,,
KRS-P-AA9AC1EE9B4F,Pelargon,p-gibbosum-1,p-laxum-1,Pollinerad,,G×L 26,,,2026-08-25T15:58:56.260Z,,
