fröparti_id,plant_id,leverantör,inköpsnamn,ordernummer,mängd,inköpsdatum,ankomstdatum,sådatum,grodddatum,status,anteckningar,ursprungligt_växt_id,inköpspris,valuta,inköpsantal,ursprungligt_fröantal,förvärvstyp
STA-021-F01,STA-021,Exotic Plants,Stapelia gigantea,17974,5 frön,,,,,Beställd,,STA-021,3.50,EUR,5,5,Frö
STA-021-F02,STA-021,SuccSeed,Stapelia gigantea,278352062,40 frön,,,,,,Separat förvärv och fröparti.,STA-031,36,SEK,2,40,Frö
