assessment_id,plant_id,observed_date,photo_id,standard_version,status,note,created_at,updated_at
FA-HIB-001-55f7e0a0f6e7,HIB-001,2026-08-13,HPH-8650E17E98F0,HIB-FLOWER-V1,COMPLETE,,2026-08-14T10:13:50.510Z,2026-08-14T10:13:50.510Z
FA-HIB-001-3af7febc46bc,HIB-001,2026-08-14,HPH-B2B058AC22DA,HIB-FLOWER-V1,COMPLETE,,2026-08-14T11:12:26.442Z,2026-08-14T11:12:26.442Z
FA-HIB-002-5b6b2e034605,HIB-002,2026-08-13,HPH-FBCF9B19D30B,HIB-FLOWER-V1,COMPLETE,,2026-08-14T10:16:50.020Z,2026-08-14T10:16:50.020Z
