id,date,type,title,file
SP-009,2026-08-13,Växtkort,Presentkort för pillerfikus,dokument/udda/SP-009_pillerfikus_2026-08-13_vaxtkort.png
SP-010,2026-07-25,Kompendium,Patchouli – Från ett litet frö,dokument/udda/SP-010_patchouli_2026-07-25_kompendium.pdf
