event_id,crossing_id,date,type,note,created_at
cross-event-e82a9f5431264e45b31f53ae4f618a51,KRS-P-AA9AC1EE9B4F,2026-08-18,Pollinerad,,2026-08-25T15:58:56.260Z
cross-event-7def93ca2a384d2b84b73134784b9524,KRS-P-2A4E5C71076E,2026-08-25,Pollinerad,,2026-08-25T16:00:03.404Z
cross-event-cece07cd867d427d99dfc0284c4c2c6f,KRS-P-335486E61ACD,2026-08-26,Pollinerad,,2026-08-26T16:24:54.181Z
cross-event-d0c9e28795dd4c80aea3194b3b02982a,KRS-P-AA9AC1EE9B4F,2026-09-04,Frö utvecklas,,2026-09-04T20:29:12.696Z
cross-event-harvest-aa9ac1ee9b4f,KRS-P-AA9AC1EE9B4F,2026-09-11,Frö skördat,14 frön,2026-09-12T10:00:00Z
cross-event-53b8d84c4e414a7d8aa0790f4982879c,KRS-P-AA9AC1EE9B4F,2026-09-12,Sådd,,2026-09-12T15:16:58.467Z
