milestone_id,seedling_id,date,type,note,created_at
LABM-sta029-hystrix-01-20260916,LAB-sta029-hystrix-01-20260916,2026-09-12,Grodd,Individuell fröplanta migrerad från STA-029.,2026-09-16T23:50:00+02:00
LABM-sta029-hystrix-02-20260916,LAB-sta029-hystrix-02-20260916,2026-09-12,Grodd,Individuell fröplanta migrerad från STA-029.,2026-09-16T23:50:00+02:00
LABM-sta030-zebrina-01-20260916,LAB-sta030-zebrina-01-20260916,2026-09-12,Grodd,Individuell fröplanta migrerad från STA-030.,2026-09-16T23:50:00+02:00
LABM-sta030-zebrina-02-20260916,LAB-sta030-zebrina-02-20260916,2026-09-12,Grodd,Individuell fröplanta migrerad från STA-030.,2026-09-16T23:50:00+02:00
LABM-sta030-zebrina-03-20260916,LAB-sta030-zebrina-03-20260916,2026-09-12,Grodd,Individuell fröplanta migrerad från STA-030.,2026-09-16T23:50:00+02:00
LABM-sta030-zebrina-04-20260916,LAB-sta030-zebrina-04-20260916,2026-09-12,Grodd,Individuell fröplanta migrerad från STA-030.,2026-09-16T23:50:00+02:00
LABM-sta033-variegata-01-20260916,LAB-sta033-variegata-01-20260916,2026-09-12,Grodd,Individuell fröplanta migrerad från STA-033.,2026-09-16T23:50:00+02:00
LABM-sta021-gigantea-01-20260916,LAB-sta021-gigantea-01-20260916,2026-09-12,Grodd,Individuell fröplanta migrerad från STA-021.,2026-09-16T23:50:00+02:00
LABM-sta021-gigantea-02-20260916,LAB-sta021-gigantea-02-20260916,2026-09-12,Grodd,Individuell fröplanta migrerad från STA-021.,2026-09-16T23:50:00+02:00
